URL,Size,OutLinks,ContentType
http://www.latimes.com/local/california/la-essential-education-updates-southern-trump-devos-and-spicer-addressed-1487102754-htmlstory.html,162942,54,text/html
http://www.latimes.com/world/mexico-americas/la-fg-rights-groups-blast-sentencing-of-venezuelan-opposition-leader-20150911-story.html,191218,63,text/html
http://www.latimes.com/world/la-fg-russia-putin-apology-20170206-story.html,245777,81,text/html
http://www.latimes.com/local/lanow/la-me-lax-delays-protests-trump-20170130-story.html,268273,83,text/html
http://www.latimes.com/politics/la-live-updates-9th-circuit-arguments-trump-s-words-come-back-to-bite-him-in-1486511992-htmlstory.html,160337,48,text/html
http://www.latimes.com/business/la-fi-ivanka-trump-conway-20170209-story.html,249327,86,text/html
http://www.latimes.com/politics/washington/la-na-essential-washington-updates-trump-makes-his-first-comments-about-1487182491-htmlstory.html,159828,49,text/html
http://www.latimes.com/nation/la-na-pol-trump-immigration-vetting-20170129-story.html,289349,88,text/html
http://www.latimes.com/politics/la-na-pol-trump-abortion-20170127-story.html,254979,77,text/html
http://www.latimes.com/politics/la-na-pol-sanctuary-legal-battle-20170127-story.html,236812,75,text/html
http://www.latimes.com/business/la-fi-us-mexico-nafta-tension-20170126-story.html,245362,82,text/html
http://www.latimes.com/topic/sports/gymnastics/15028000-topic.html,172555,85,text/html
http://www.latimes.com/sports/usc/la-sp-usc-ucla-basketball-20170217-story.html,186996,65,text/html
http://www.latimes.com/sports/olympics/la-sp-gymnastics-sexual-abuse-20170220-story,amp.html,48912,18,text/html
http://www.latimes.com/topic/sports/football/atlanta-falcons-ORSPT000032-topic.html,198013,119,text/html
http://www.latimes.com/topic/crime-law-justice/crime/02001000-topic.html,200399,116,text/html
http://www.latimes.com/sports/dodgers/la-sp-dodgers-adrian-gonzalez-20170217-story.html,187616,71,text/html
http://www.latimes.com/topic/sports/football/super-bowl-EVSPR000004-topic.html,197853,121,text/html
http://www.latimes.com/topic/sports/football/new-england-patriots-ORSPT000192-topic.html,194405,113,text/html
http://www.latimes.com/sports/more/la-sp-genesis-open-sidebar-20170219-story.html,223680,63,text/html
http://www.latimes.com/topic/sports/golf/dustin-johnson-PESPT008834-topic.html,180653,98,text/html
http://www.latimes.com/topic/sports/golf/u.s.-open-%28golf%29-EVSPR000018-topic.html,178800,99,text/html
http://www.latimes.com/topic/sports/golf/phil-mickelson-PESPT005015-topic.html,180306,97,text/html
http://www.latimes.com/sports/more/la-sp-genesis-open-20170219-story,amp.html,64695,26,text/html
http://www.latimes.com/la-bio-john-cherwa-staff.html,122979,53,text/html
http://www.latimes.com/sports/more/la-sp-genesis-open-notes-20170219-story.html,193732,62,text/html
http://www.latimes.com/topic/sports/golf/15027000-topic.html,181536,97,text/html
http://www.latimes.com/topic/sports/golf/jason-day-PESPT0000010585-topic.html,180359,95,text/html
http://www.latimes.com/topic/sports/golf/pga-tour-15007111-topic.html,183412,104,text/html
http://www.latimes.com/health/la-he-zendaya-5q-20160725-snap-story.html,190219,66,text/html
http://www.latimes.com/health/la-he-running-clubs-20160623-snap-story.html,187614,66,text/html
http://www.latimes.com/topic/entertainment/people-01026001767175-topic.html,131064,65,text/html
http://www.latimes.com/health/la-he-mark-feuerstein-20161227-story,amp.html,52471,23,text/html
http://www.latimes.com/topic/environmental-issues/conservation/national-parks/yosemite-national-park-PLREC000112-topic.html,196336,115,text/html
http://www.latimes.com/health/la-he-wound-care-20160725-snap-story.html,189192,62,text/html
http://www.latimes.com/business/hiltzik/la-fi-hiltzik-oz-stem-cell-20170213-story.html,247820,78,text/html
http://www.latimes.com/business/realestate/hot-property/la-fi-hotprop-stone-gossard-seattle-bungalow-20170216-story.html,186794,68,text/html
